Id,Status,Audiobook,dateRead,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,bookBuyUrl
15,Yes,No,07/10/2021,Wyrd Sisters,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9021683-L.jpg,9780000000000,Roc,233,1988,1988,https://bookshop.org/p/books/wyrd-sisters-terry-pratchett/6431870?aid=93821&ean=9780062225733&listref=matt-s-reading-list
14,Yes,No,06/27/2021,The Song of Achilles,Madeline Miller,"Miller, Madeline",https://covers.openlibrary.org/b/id/10826922-L.jpg,9780000000000,HarperCollins,389,2012,2011,https://bookshop.org/p/books/the-song-of-achilles-madeline-miller/228865?aid=93821&ean=9780062060624&listref=matt-s-reading-list
13,Yes,No,06/11/2021,Pyramids,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9021696-L.jpg,9780000000000,Harper,341,2008,1989,https://bookshop.org/p/books/pyramids-terry-pratchett/6431880?aid=93821&ean=9780062225740&listref=matt-s-reading-list
12,Yes,No,05/31/2021,Sourcery,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/10618567-L.jpg,9780000000000,Harper,276,2008,1988,https://bookshop.org/p/books/sourcery-terry-pratchett/454117?aid=93821&ean=9780062225726&listref=matt-s-reading-list
11,Yes,No,05/24/2021,Men at Arms,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/45140-L.jpg,9780000000000,HarperPrism,377,2003,1993,https://bookshop.org/p/books/men-at-arms-terry-pratchett/6432140?aid=93821&ean=9780062237408&listref=matt-s-reading-list
10,Yes,No,05/12/2021,Reaper Man,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43531-L.jpg,9780000000000,HarperTorch,374,2002,1991,https://bookshop.org/p/books/reaper-man-terry-pratchett/6432139?aid=93821&ean=9780062237354&listref=matt-s-reading-list
9,Yes,No,05/04/2021,The Light Fantastic,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/10639705-L.jpg,9780000000000,HarperTorch,277,2000,1986,https://bookshop.org/p/books/the-light-fantastic-terry-pratchett/6431866?aid=93821&ean=9780062225689&listref=matt-s-reading-list
8,Yes,No,04/26/2021,Equal Rites,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/38429-L.jpg,9780000000000,Harper Perennial,240,2005,1987,https://bookshop.org/p/books/equal-rites-terry-pratchett/6431873?aid=93821&ean=9780062225696&listref=matt-s-reading-list
7,Yes,No,04/18/2021,The Color of Magic,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43549-L.jpg,9780000000000,HarperCollins,293,2009,1983,https://bookshop.org/p/books/the-color-of-magic-terry-pratchett/15831986?aid=93821&ean=9780062225672&listref=matt-s-reading-list
6,Yes,No,04/03/2021,Circe,Madeline Miller,"Miller, Madeline",https://covers.openlibrary.org/b/id/10618670-L.jpg,9780000000000,"Little, Brown and Company",393,2018,2018,https://bookshop.org/p/books/circe-madeline-miller/15276582?aid=93821&ean=9780316556323&listref=matt-s-reading-list
5,Yes,No,03/28/2021,Mort,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9021091-L.jpg,9780000000000,Harpertorch,243,2001,1987,https://bookshop.org/p/books/mort-terry-pratchett/6431871?aid=93821&ean=9780062225719&listref=matt-s-reading-list
4,Yes,No,03/12/2021,Guards! Guards!,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8913515-L.jpg,9780000000000,HarperTorch,376,2001,1989,https://bookshop.org/p/books/guards-guards-terry-pratchett/6431868?aid=93821&ean=9780062225757&listref=matt-s-reading-list&page=2
3,Yes,No,02/16/2021,Small Gods,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9023424-L.jpg,9780000000000,HarperCollins ebooks,355,2009,1992,https://bookshop.org/p/books/small-gods-terry-pratchett/6432137?aid=93821&ean=9780062237378&listref=matt-s-reading-list
2,Yes,No,02/08/2021,Means of Ascent,Robert A. Caro,"Caro, Robert A.",https://covers.openlibrary.org/b/id/6664682-L.jpg,9780000000000,Vintage,592,1991,1990,https://bookshop.org/p/books/means-of-ascent-the-years-of-lyndon-johnson-ii-robert-a-caro/6715964?aid=93821&ean=9780679733713&listref=matt-s-reading-list
1,Yes,No,01/16/2021,The Night Manager,John le Carré,"Carré, John le",https://covers.openlibrary.org/b/id/8870676-L.jpg,9780000000000,Knopf,429,1993,1993,https://bookshop.org/p/books/the-night-manager-john-le-carre/10259019?aid=93821&ean=9781524796952&listref=matt-s-reading-list
